,sectorline,coords
265,MWE4,+541500.000-0030459.023/+533917.000-0023900.000/+533910.000-0023952.000
266,MWE5,+533910.000-0023952.000/+532125.000-0021544.000
267,MWE6,+532124.000-0013205.000/+531017.000-0012043.000
268,Heb_BIRD,+610000.000-0070000.000/+610000.000-0053000.000
269,Heb_BIRD Del Inner,+603000.000-0100000.000/+610000.000-0070000.000
270,Heb_BIRD Del EGGX,+603000.000-0100000.000/+610000.000-0100000.000
271,Heb_BIRD Del Outer,+610000.000-0100000.000/+610000.000-0070000.000
272,Mor_BIRD,+610000.000-0053000.000/+610000.000-0000000.000
273,Mor_ENSV_N,+610000.000+0000000.000/+595931.000+0000054.000/+593818.000+0004009.000/+590209.000+0014420.000/+584736.000+0020918.000/+583100.000+0023600.000
274,Mor_ENSV,+583100.000+0023600.000/+582324.000+0024944.000/+575427.000+0033630.000/+573412.000+0040813.000/+572016.312+0042923.315
275,Mor_ENSV-EKDK Delegated,+572016.312+0042923.315/+570000.000+0050000.000
276,Mor_EKDK DB-660,+572016.312+0042923.315/+563604.000+0033632.000
277,Mor_EKDK DB-195 Border,+570000.000+0050000.000/+562502.000+0050000.000
278,Mor_Tyne DK Del,+563604.000+0033632.000/+562502.000+0050000.000
279,Mor_Mon,+572337.177-0041406.008/+570952.000-0015347.000
280,Mor_Tyne,+570952.000-0015347.000/+563604.000+0033632.000
281,Mor_Tay,+572131.000-0035213.000/+571145.000-0021815.000/+570952.000-0015347.000
282,Heb_EGGX,+603000.000-0100000.000/+592000.000-0100000.000
283,Heb_Mor 1,+610000.000-0053000.000/+591638.000-0043000.000/+580140.821-0041658.594
284,Heb_Mor Low,+580140.821-0041658.594/+575446.000-0043204.000/+574512.000-0042348.121/+573147.000-0041203.000
285,Mor Low Tri,+580140.821-0041658.594/+573147.000-0041203.000
286,Heb_Mor 2,+573147.000-0041203.000/+572337.177-0041406.008
287,Tyne_Hum,+550516.000-0010020.000/+552306.000+0002228.000/+552545.686+0034548.541
288,Tyne_EKDK DB-660,+563604.000+0033632.000/+563035.000+0033000.000/+555116.000+0033000.000/+552545.686+0034548.541
289,Tyne_EKDK DB-195 Border,+562502.000+0050000.000/+553000.000+0050000.000
290,Tyne_Hum DK Del,+553000.000+0050000.000/+552545.686+0034548.541
291,Tyne_Montrose,+570952.000-0015347.000/+550516.000-0010020.000
292,Hum_EKDK DB-660,+552545.686+0034548.541/+550251.000+0040001.000/+543843.000+0042000.000/+543000.000+0043209.000
293,Hum_EKDK DB-195 Border,+553000.000+0050000.000/+550000.000+0050000.000
294,Hum_EHAA DB-195 Border,+550000.000+0050000.000/+543000.000+0043209.000
295,Humber_EHAA_EDYY-J,+543000.000+0043209.000/+540620.000+0041048.000
296,Humber_EHAA_EDYY-D,+540620.000+0041048.000/+533411.000+0034222.000/+531029.000+0032158.000
297,Hum_Mon,+550516.000-0010020.000/+540141.000+0002719.000
298,SELN1,+540147.000-0013515.000/+540145.500-0001712.100
299,SELN2,+540145.500-0001712.100/+540145.000+0000602.000
300,SELN3,+540145.000+0000602.000/+540141.000+0002719.000
301,SELN4,+540141.000+0002719.000/+532302.000+0024006.000/+531813.000+0024400.000
302,SELN5,+531029.000+0032158.000/+531440.000+0031102.000/+531813.000+0024400.000
303,DCS-N_DCS-S Split,+550000.000-0020729.000/+550000.000-0032811.000/+553121.000-0035809.000/+554700.000-0053041.000
304,DCS-S_RatW,+554660.000-0053041.000/+553419.000-0054133.000/+550948.000-0050441.000
305,DCS-S_RatE,+550948.000-0050441.000/+550540.000-0045834.000/+542024.000-0033358.000
306,DCS-S 255-285,+542024.000-0033358.000/+543000.000-0033533.000/+543007.000-0025245.000/+541500.000-0023948.000
307,Cen_RatW,+563506.000-0100000.000/+555607.000-0052248.000
308,Cen_Heb,+592000.000-0100000.000/+592000.000-0100000.000/+585314.000-0081558.000/+580137.000-0062919.000/+571504.000-0053633.000
309,Cen_Mon,+571504.000-0053633.000/+561600.000-0050520.000
310,Cen_DCS-N,+561560.000-0050520.000/+555607.000-0052248.000
311,RatW_DCS-N,+555607.000-0052248.000/+554660.000-0053041.000/+554700.000-0053041.000
312,Cen_EGGX,+592000.000-0100000.000/+570000.000-0100008.000
313,Cen_EISN,+570000.000-0100008.000/+563506.000-0100000.000
314,RatW_EISN 1,+563506.000-0100000.000/+544311.750-0100000.000
315,RatW_EISN MOLAK,+543858.000-0093319.000/+544311.750-0100000.000
316,RatW_EISN 2,+544311.750-0100000.000/+543400.000-0100000.000/+543858.000-0093319.000
317,RatW_EISN Del,+543858.000-0093319.000/+543858.000-0093320.000/+544459.000-0090000.000/+552000.000-0081500.000/+552459.000-0072000.000/+552000.000-0065500.000/+542500.000-0081000.000
318,RatW_EISN Del FIR,+543858.000-0093319.000/+542500.000-0081000.000
319,RatW_EISN 3,+540316.000-0061212.000/+542500.000-0081000.000
320,RatW_RatE,+550948.000-0050441.000/+545548.000-0051649.810/+543858.000-0054223.400/+540316.000-0061212.000
321,Rat-E_EISN 1,+540316.000-0061212.000/+535500.000-0053000.000
322,Rat-E_EISN 2,+535500.000-0053000.000/+534817.000-0053000.000
323,SWLN1,+534817.000-0053000.000/+534617.000-0043112.000/+535419.000-0042151.000/+535358.000-0040608.000/+534149.000-0033649.000/+534125.000-0032734.000
324,SWLN2,+541500.000-0033305.000/+534125.000-0032734.000
325,SWLN3,+542024.000-0033358.000/+541500.000-0033305.000
326,SWLN4,+542024.000-0033358.000/+543000.000-0033533.000/+543007.000-0025245.000/+541459.000-0023948.000
327,SWLN5,+541459.000-0023948.000/+540043.000-0022743.000/+540147.000-0013515.000
328,SWLN6,+541500.000-0033305.000/+541459.000-0023948.000
329,DCS-S 285-660 Inner 1,+541459.000-0023948.000/+541500.000-0021000.000/+541519.000-0020855.000
330,DCS-S 285-660 Inner 2,+541519.000-0020855.000/+543405.304-0020303.861
331,DCS-S_Mon Tri B,+543405.304-0020303.861/+543322.908-0015630.643
332,DCS-S_TILNI Corridor Tri,+544248.193-0020023.665/+543405.304-0020303.861
333,DCS-S 285_Mon Area B,+543322.908-0015630.643/+541500.000-0014856.000
334,DCS-S 285_Mon Area C,+543322.908-0015630.643/+544248.193-0020023.665
335,DCS-S_Mon,+544248.193-0020023.665/+545749.163-0020621.435
336,DCS-S 285_Mon,+541500.000-0014856.000/+540147.000-0013515.000
337,Mon_Heb,+572337.177-0041406.008/+571440.000-0042816.000/+571504.000-0053633.000
338,Mon_WCoast 1,+561600.000-0050520.000/+561600.647-0040855.971
339,Mon_WCoast 2,+561600.647-0040855.971/+561400.000-0040926.000
340,Mon_DCS-N Area E1 Inner,+561600.647-0040855.971/+561554.200-0032925.790/+560701.203-0031326.815
341,Mon_Gal,+560701.203-0031326.815/+560700.000-0025607.000/+560008.000-0024849.000/+555335.022-0024931.040
342,Mon_DCS-N Area E2a Inner,+555335.022-0024931.040/+552109.000-0022141.400
